Event Type,Create Time,Close Time,Latitude,Longitude
Special event,2012-03-29 11:25:45,2012-04-14 10:19:00,40.81,-74.06
Concert,2012-03-29 11:23:48,2012-04-04 11:08:00,40.81,-74.06
Lacrosse,2012-03-29 11:20:49,2012-04-01 09:17:00,40.81,-74.07
Concert,2012-03-12 12:38:47,2012-07-08 12:02:00,40.82,-73.92
Concert,2012-03-12 12:33:14,2012-09-08 11:16:00,40.82,-73.92
Basketball game,2012-02-23 12:03:54,2012-03-20 09:47:00,40.81,-74.06
Motorcycle Rally,2012-02-23 12:00:39,2012-02-29 05:25:00,40.81,-74.06
Soccer game,2012-02-23 06:34:11,2012-05-27 06:17:00,40.81,-74.07
Soccer game,2012-02-23 06:31:45,2012-06-09 06:17:00,40.81,-74.07
Special event,2012-02-07 08:15:14,2012-02-07 03:46:00,40.81,-74.07
Baseball game,2012-02-02 12:15:31,2012-09-20 10:27:00,40.75,-73.84
Baseball game,2012-02-02 12:09:44,2012-05-27 04:27:00,40.75,-73.84
Baseball game,2012-02-02 12:06:38,2012-06-17 04:33:00,40.75,-73.84
Baseball game,2012-02-02 12:01:31,2012-05-15 10:27:00,40.75,-73.84
Baseball game,2012-02-02 11:58:43,2012-05-06 04:58:00,40.75,-73.84
Baseball game,2012-02-02 11:54:55,2012-09-23 04:27:00,40.75,-73.84
Baseball game,2012-02-02 11:47:26,2012-04-23 10:57:00,40.75,-73.84
Baseball game,2012-02-02 11:41:24,2012-09-12 10:36:00,40.75,-73.84
Baseball game,2012-02-02 11:34:23,2012-09-09 04:27:00,40.75,-73.84
Baseball game,2012-02-02 10:55:12,2012-09-23 04:26:00,40.82,-73.92
Baseball game,2012-02-02 10:52:43,2012-08-16 05:22:00,40.82,-73.92
Baseball game,2012-02-02 10:50:18,2012-10-03 10:52:00,40.82,-73.92
Baseball game,2012-02-02 10:45:02,2012-09-20 10:21:00,40.82,-73.92
Baseball game,2012-02-02 10:40:07,2012-07-01 05:23:00,40.82,-73.92
Baseball game,2012-02-02 10:36:56,2012-06-27 04:22:00,40.82,-73.92
Baseball game,2012-02-02 10:34:22,2012-06-20 04:22:00,40.82,-73.92
Baseball game,2012-02-02 10:30:55,2012-06-10 04:23:00,40.82,-73.92
Baseball game,2012-02-02 10:27:54,2012-05-23 10:23:00,40.82,-73.92
Baseball game,2012-02-02 10:03:22,2012-05-20 04:23:00,40.82,-73.92
Baseball game,2012-02-02 10:00:36,2012-08-05 04:22:00,40.82,-73.92
Baseball game,2012-02-02 09:51:22,2012-09-16 04:22:00,40.82,-73.92
Baseball game,2012-02-02 09:45:46,2012-09-02 04:23:00,40.82,-73.92
Baseball game,2012-02-02 09:40:23,2012-04-29 04:23:00,40.82,-73.92
Baseball game,2012-02-02 09:37:07,2012-04-19 10:39:00,40.82,-73.92
Baseball game,2012-02-02 09:34:51,2012-07-15 04:22:00,40.82,-73.92
Baseball game,2012-02-02 04:17:03,2012-09-27 04:28:00,40.75,-73.84
Baseball game,2012-02-02 04:14:21,2012-08-26 04:31:00,40.75,-73.84
Baseball game,2012-02-02 04:12:09,2012-08-23 07:08:00,40.75,-73.84
Baseball game,2012-02-02 04:09:58,2012-07-22 04:29:00,40.75,-73.84
Baseball game,2012-02-02 04:07:21,2012-07-08 04:26:00,40.75,-73.84
Baseball game,2012-02-02 04:04:10,2012-06-24 11:31:00,40.75,-73.84
Baseball game,2012-02-02 04:01:35,2012-06-20 10:27:00,40.75,-73.84
